Date,Open,High,Low,Close,Adj Close,Volume
1993/1/29,43.9687,43.9687,43.75,43.9375,27.607176,1003200
1993/2/1,43.9687,44.25,43.9687,44.25,27.803539,480500
1993/2/2,44.2187,44.375,44.125,44.3437,27.862408,201300
1993/2/3,44.4062,44.8437,44.375,44.8125,28.156963,529400
1993/2/4,44.9687,45.0937,44.4687,45,28.274775,531500
1993/2/5,44.9687,45.0625,44.7187,44.9687,28.255106,492100
1993/2/8,44.9687,45.125,44.9062,44.9687,28.255106,596100
1993/2/9,44.8125,44.8125,44.5625,44.6562,28.058754,122100
1993/2/10,44.6562,44.75,44.5312,44.7187,28.098019,379600
1993/2/11,44.7812,45.125,44.7812,44.9375,28.235523,19500
1993/2/12,44.875,44.875,44.5937,44.5937,28.019476,42500
1993/2/16,44.4687,44.4687,43.4062,43.4687,27.312618,374800
1993/2/17,43.4687,43.5312,43.2812,43.4375,27.293016,210900
1993/2/18,43.9375,43.9375,42.8125,43.4062,27.273346,378100
1993/2/19,43.4062,43.5625,43.3437,43.5625,27.371544,34900
1993/2/22,43.6875,43.7812,43.5625,43.7187,27.469679,513600
1993/2/23,43.8437,43.875,43.4687,43.6875,27.450109,373700
1993/2/24,43.7187,44.25,43.7187,44.25,27.803539,26300
1993/2/25,44.2187,44.375,44.125,44.3437,27.862408,44500
1993/2/26,44.4375,44.4375,44.1875,44.4062,27.901669,66200
1993/3/1,44.5625,44.5625,44.2187,44.2812,27.823126,66500
1993/3/2,44.3125,44.9375,44.25,44.9375,28.235523,182400
1993/3/3,45,45.1562,44.9375,45.125,28.353325,280100
1993/3/4,45.1875,45.1875,44.875,44.875,28.196238,89500
1993/3/5,44.9375,45.125,44.7187,44.75,28.117695,40000
1993/3/8,44.8437,45.75,44.8437,45.75,28.746017,50800
1993/3/9,45.6562,45.6875,45.5,45.5937,28.647808,169300
1993/3/10,45.5937,45.6875,45.4062,45.6875,28.706751,194400
1993/3/11,45.7187,45.8437,45.5,45.5625,28.628229,70900
1993/3/12,45.1875,45.2187,44.8125,45.0937,28.333641,643600
1993/3/15,45.0625,45.3125,45.0625,45.3125,28.471132,310800
1993/3/16,45.3125,45.4375,45.3125,45.3125,28.471132,30800
1993/3/17,45.25,45.25,44.9687,45.0312,28.29438,21800
1993/3/18,45.2187,45.5,45.2187,45.3125,28.471132,59300
1993/3/19,45.2812,45.2812,45.0312,45.0312,28.428011,66900
1993/3/22,44.5937,44.875,44.5625,44.7812,28.270184,183400
1993/3/23,44.9062,44.9375,44.8125,44.875,28.32939,55200
1993/3/24,44.8125,45.0625,44.5937,44.875,28.32939,37200
1993/3/25,44.9062,45.25,44.8437,45.1562,28.506927,110100
1993/3/26,45.125,45.1562,44.875,44.9062,28.349098,101500
1993/3/29,44.9375,45.3125,44.9375,45.0937,28.467468,87100
1993/3/30,45.1562,45.2187,45.0937,45.2187,28.546371,56000
1993/3/31,45.3437,45.4687,45.1875,45.1875,28.526665,111600
1993/4/1,45.25,45.25,44.9375,45.0312,28.428011,129500
